幾個月後預測,SARIMAX,STCN,AWDLSTM,ARIMAX,TCN
1,0.038777208,0.042029343,0.069522693,0.06313837,0.047800557
2,0.064921448,0.06324532,0.108244623,0.103900325,0.066313666
3,0.075421326,0.079825095,0.131508818,0.126562735,0.077207462
4,0.086001859,0.087686724,0.161979154,0.138035932,0.088403313
5,0.098501433,0.101531963,0.189759098,0.14631062,0.098291242
6,0.109569285,0.106524586,0.202619982,0.152080257,0.106009413
7,0.120498907,0.116636019,0.212427016,0.158562357,0.112252278
8,0.131545268,0.122654109,0.220377115,0.161668635,0.115732214
9,0.141722103,0.128718429,0.222445317,0.16489756,0.114063381
10,0.149087807,0.162810114,0.222636592,0.162970539,0.119904927
11,0.156052295,0.130768108,0.224334347,0.156083795,0.125802008
12,0.162495917,0.167775805,0.233235939,0.152689981,0.129980037
